Дата создания заказа,Дата утверждения заказа,Номер контракта,Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора
2021-07-20,2021-07-28,D1009226_11_НСН,32,169.372.000972,Кабель Simplex Jumper (3.5м) - ETSI (1AB215120078),штука,12,0,12,",1",",1",",1",",001",",012",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,33,241.372.000510,Патчкорд оптический SM LC/PC-LC/PC (155MM) (1AB215120076),штука,2,0,2,",06",",27",",23",",003726",",007452",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,34,189.372.001545,"Патч-корд оптический DUPL SM LC/PC-LC/PC, 120/135мм (1AB215120093)",штука,2,0,2,",05",",15",",27",",002025",",00405",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,35,169.372.001139,МОДУЛЬ SFP+ P1I1-2D1/SR1/10GBASE-LR(W)/10XFC SMF -5/85 (1AB390930013),штука,3,0,3,",06",",02",",015",",000018",",000054",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,36,169.372.000974,Аттенюатор оптический 14дБ LC/UPC PLUG FM (1AB371250005),штука,2,0,2,",01",",17",",22",",000374",",000748",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,47,169.372.000984,Фильтр статический DWDM 8 CHANNEL (С) (8DG60210AC**),штука,3,0,3,,,,",022763",",068289",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,49,169.372.001068,Блок OEM-DCM SSMF 30KM,штука,2,0,2,",35",",2",",04",",0028",",0056",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,50,169.372.001070,Блок OEM-DCM SSMF 60KM,штука,2,0,2,",35",",3",",09",",00945",",0189",К04,26.10.2021
2021-07-20,2021-07-28,D1009226_11_НСН,52,169.372.000376,Патчкорд оптический DUPL SM LC/PC-LC/PC (3.5М),штука,4,0,4,",1",",1",",05",",0005",",002",К04,26.10.2021
2021-12-24,,D1009226_11_НСН,1,189.372.001565,Блок оптического мультиплексора WTOCM-F WTOCM W/FLEX CAPABILITY (8DG61330AA),штука,2,0,2,",14",",35",",4",",0196",",0392",702,
2021-12-24,,D1009226_11_НСН,2,189.346.000112,АДАПТЕР HSLADA - HALF SLOT ADAPTER - PSS-32S (8DG09811AA),штука,2,0,2,",3",",1",",1",",003",",006",702,
2021-12-24,,D1009226_11_НСН,3,189.372.001575,Блок оптического мультиплексора ALD 4MX200 2х100G/4х40G CLIENT (3TD00579AA),штука,4,0,4,",35",",41",",13",",018655",",07462",702,
2021-12-24,,D1009226_11_НСН,4,189.372.001542,Модуль QSFP28 100GBase-LR4 D.R.100GE (3AL82072AA),штука,6,0,6,",03",",13",",25",",000975",",00585",702,
2021-12-24,,D1009226_11_НСН,5,246.346.001512,Патчкорд DUPLEX (15M) - ETSI - SM,штука,6,0,6,",01",",1",",1",",0001",",0006",702,
2021-12-24,,D1009226_11_НСН,6,169.372.001139,МОДУЛЬ SFP+ P1I1-2D1/SR1/10GBASE-LR(W)/10XFC SMF -5/85 (1AB390930013),штука,13,0,13,",06",",02",",015",",000018",",000234",702,
2021-12-24,,D1009226_11_НСН,7,246.346.001512,Патчкорд DUPLEX (15M) - ETSI - SM,штука,13,0,13,",01",",1",",1",",0001",",0013",702,
2021-12-24,,D1009226_11_НСН,8,189.372.001577,Блок оптического мультиплексора ALD 2UX200 2х100G/1х200G COHERENT UPLINK (3TD00493AA),штука,2,0,2,",36",",4",",14",",02016",",04032",702,
2021-12-24,,D1009226_11_НСН,9,189.372.001578,Модуль ALD CFP4-ACO 100G/200G COHERENT PLUGGABLE (3AL82155AA),штука,2,0,2,",09",",17",",03",",000459",",000918",702,
2021-12-24,,D1009226_11_НСН,10,183.346.000194,Патчкорд DUPLEX (7M) - ETSI - SM,штука,2,0,2,",36",",1",",1",",0036",",0072",702,
2021-12-24,,D1009226_11_НСН,11,204.346.002325,"ETH свитч: Ethernet switch, 10/100Mb, 8 ports, 230VAC, desktop enclosure",штука,2,0,2,,,,,,702,
2021-12-24,,D1009226_11_НСН,12,169.372.001047,Выключатель автоматический 8345_2A,штука,2,0,2,",4",",26",",06",",00624",",01248",702,
2021-10-13,2021-10-19,D1009226_11_НСН,1,355.692.001090,Фильтр NSN воздушный 16AF2-PSS16II AIR FILTER (3KC50040AB),штука,100,0,100,",3",",02",",6",",0036",",36",107,16.01.2022
2021-10-13,2021-10-19,D1009226_11_НСН,2,355.692.001071,Фильтр воздушный NSN Dust Filter Spare Part PSS-12X (3TD00742AA),штука,10,0,10,",5",",245",",035",",0042875",",042875",107,16.01.2022
2021-10-13,2021-10-19,D1009226_11_НСН,3,355.692.001091,Фильтр NSN противопылевой MPP-AIR (8DG59320AA),штука,60,0,60,",3",",02",",6",",0036",",216",107,16.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,1,169.372.001142,Блок AHPHG - HPOWER HGAIN DWDM AMPLIFIER (8DG59245AB),штука,5,0,5,",8",",53",",45",",1908",",954",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,2,169.372.000972,Кабель Simplex Jumper (3.5м) - ETSI (1AB215120078),штука,5,0,5,",1",",1",",1",",001",",005",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,3,189.372.001545,"Патч-корд оптический DUPL SM LC/PC-LC/PC, 120/135мм (1AB215120093)",штука,1,0,1,",05",",15",",27",",002025",",002025",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,4,169.372.001142,Блок AHPHG - HPOWER HGAIN DWDM AMPLIFIER (8DG59245AB),штука,3,0,3,",8",",53",",45",",1908",",5724",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,5,241.372.000510,Патчкорд оптический SM LC/PC-LC/PC (155MM) (1AB215120076),штука,3,0,3,",06",",27",",23",",003726",",011178",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,6,241.372.000217,"Патчкорд оптический DX, SM, LCU-LCU, 3MR (1AB215120056)",штука,3,0,3,",05",",15",",27",",002025",",006075",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,7,241.372.000498,Патчкорд оптический SIMPLEX (3.5M) - ETSI (1AB215120078),штука,2,0,2,",07",",26",",23",",004186",",008372",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,8,189.372.001545,"Патч-корд оптический DUPL SM LC/PC-LC/PC, 120/135мм (1AB215120093)",штука,3,0,3,",05",",15",",27",",002025",",006075",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,9,189.372.000183,"Блок RA2P LH - 2 PUMP RAMAN, NO MID-STAGE ACCESS (8DG60567AB)",штука,8,0,8,",14",",52",",35",",02548",",20384",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,10,169.372.000972,Кабель Simplex Jumper (3.5м) - ETSI (1AB215120078),штука,8,0,8,",1",",1",",1",",001",",008",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,11,241.346.001895,"Шнур оптический simplex LC/APC-LC/UPC, одномодовый (9/125мкм), d 3.0мм, длина 7 м.",штука,8,0,8,,,,,,К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,12,169.372.000353,Аттенюатор оптический 10ДБ LC/PC PLUG FM,штука,3,0,3,0,0,0,",00003025",",00009075",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,13,169.372.000367,Аттенюатор оптический 2ДБ LC/UPC PLUG FM,штука,1,0,1,",02",",15",",2",",0006",",0006",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,14,320.002.001027,Блок ALD High Power High Gain DWDM Amplifier (8DG59245AB),штука,2,0,2,",15",",4",",55",",033",",066",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,15,320.346.001994,"Усилитель оптический Raman Amplifier RA2P-96, 2-PUMP RMN 96CHnoMID-STG A (8DG64137AA)",штука,2,0,2,",5",",35",",14",",0245",",049",К05,24.01.2022
2021-11-22,2021-11-29,D1009226_11_НСН,19,169.372.000924,Аттенюатор 5дБ (1AB371250008),штука,3,0,3,",04",",01",",005",",000002",",000006",К05,24.01.2022
2021-12-06,2021-12-09,D1009226_11_НСН,1,189.372.001118,Стойка ETSI ONE RACK W/0 TRU/DOOR (8DG09121AAXX),штука,2,0,2,",5",",68","2,26",",7684","1,5368",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,3,189.346.000194,"Шасси PSS8 SHELF KIT PSS8KIT (1XPSS8, 1X8FAN)",штука,3,0,3,",4",",15",",55",",033",",099",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,4,189.346.000196,"Блок 8EC2-EQUIPT CONTROLLER-PSS8, TEMP-HARDEN",штука,5,0,5,",35",",4",",15",",021",",105",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,5,189.372.001548,Блок мультиплексора NSN 8DC30T-DCPF(30A)PSS8 Full FN TMG TH (3KC48860AA),штука,5,0,5,",38",",34",",12",",015504",",07752",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,6,189.346.000198,Комплект PSS8 INST KIT-ETSI,штука,2,0,2,",23",",64",",12",",017664",",035328",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,7,189.346.000199,Комплект PSS8 INST KIT-19IN EIA,штука,2,0,2,",23",",65",",15",",022425",",04485",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,8,189.346.000195,Защитная крышка 8CVR-PSS8 FRONT COVER,штука,2,0,2,",15",",55",",5",",04125",",0825",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,9,189.372.001549,Блок мультиплексора NSN PSS8-8UP-USER Panel Temp-Hardened (3KC48840AA),штука,3,0,3,",39",",35",",13",",017745",",053235",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,10,242.372.000040,Кабель CA-DC POWER CABLE DC 3.6M ANGLED (PSS8) (3KC49822AA),штука,4,0,4,",15",",4",",4",",024",",096",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,11,217.372.000013,Заглушка MA-FULL SLOT BLANK (8DG59418AAXX),штука,4,0,4,",63",",6",",9",",3402","1,3608",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,12,169.372.001046,Блок распределения питания 1830 PDU ETSI (1AF17443AAAA),штука,2,0,2,",1",1,1,",1",",2",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,13,169.372.000885,Выключатель автоматический 15A ДЛЯ 1830 PDU (1AB017500062),штука,5,0,5,",26",",06",",4",",00624",",0312",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,14,169.372.001053,"Выключатель для автоматов 8345 (ШТОК), 1AD094650001",штука,4,0,4,",005",",3",",37",",000555",",00222",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,15,217.372.000032,Комплект клемм AWG4 (3AL35096ACXX),штука,4,0,4,",05",",16",",27",",00216",",00864",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,16,169.372.000887,Коробка ATTENUATION DRAWER (1U) (1AD151940001),штука,2,0,2,",58",",39",",14",",031668",",063336",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,17,189.346.000188,Фильтр статический DWDM 8 CHANNEL (B),штука,3,0,3,,,,,,К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,18,189.346.000112,АДАПТЕР HSLADA - HALF SLOT ADAPTER - PSS-32S (8DG09811AA),штука,2,0,2,",3",",1",",1",",003",",006",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,19,189.372.000293,Комплект KIT-ANSI/ETSI DCM INSTALLATION K (8DG59417ABXX),штука,2,0,2,"1,6",",8","1,2",",006481013",",012962026",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,20,183.346.000184,Блок oem-dcm ssmf 50km (8DG59427AA**),штука,2,0,2,0,0,0,",0184",",0368",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,21,169.372.000377,Кабель 2х парный экранированный - ETSI (1AC043850003),штука,6,0,6,",1",1,1,",1",",6",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,23,189.372.001523,Блок AA2DONWB-AMP 2-DIRw/oWT 44CH W APR (3KC49210AA),штука,3,0,3,",38",",34",",13",",016796",",050388",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,24,189.372.001545,"Патч-корд оптический DUPL SM LC/PC-LC/PC, 120/135мм (1AB215120093)",штука,2,0,2,",05",",15",",27",",002025",",00405",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,25,189.346.000010,Приемопередатчик оптический SFP-EULH OSC 1510 APD,штука,3,0,3,",05",",15",",3",",00225",",00675",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,26,169.372.000972,Кабель Simplex Jumper (3.5м) - ETSI (1AB215120078),штука,8,0,8,",1",",1",",1",",001",",008",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,27,189.372.001525,Блок 11QPA4B-11G Transponder 4x10GE CLNT (3KC49200AA),штука,3,0,3,",38",",34",",13",",016796",",050388",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,28,189.346.000112,АДАПТЕР HSLADA - HALF SLOT ADAPTER - PSS-32S (8DG09811AA),штука,2,0,2,",3",",1",",1",",003",",006",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,29,217.372.000014,Заглушка MA-HALF SLOT BLANK (8DG59419AAXX),штука,2,0,2,",06",",41",",27",",006642",",013284",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,30,189.372.000629,Модуль SFP+ DWDM TUNABLE NCHIRP WITH WT (3AL82017AA),штука,3,0,3,",13",",055",",025",",00017875",",00053625",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,31,169.372.001139,МОДУЛЬ SFP+ P1I1-2D1/SR1/10GBASE-LR(W)/10XFC SMF -5/85 (1AB390930013),штука,3,0,3,",06",",02",",015",",000018",",000054",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,33,169.372.000354,Аттенюатор оптический 4ДБ LC/UPC PLUG FM,штука,2,0,2,",02",",15",",2",",0006",",0012",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,34,169.372.000899,Аттенюатор 7дБ (1AB371250009),штука,2,0,2,",035",",01",",005",",00000175",",0000035",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,35,189.346.000002,Аттенюатор оптический 8дБ LC (1AB371240001),штука,2,0,2,",02",",15",",2",",0006",",0012",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,39,189.346.000103,Оптический патч-корд DUPL SM LC (SB) 10М (1AB215120083),штука,2,0,2,0,0,0,",0081",",0162",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,40,239.372.000060,Кабель силовой 1X25MM2 5 кл. черный 2ИЗ LSZH (1AC053180009),Метр,40,0,40,",0008",1,1,",0008",",032",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,41,239.372.000061,Кабель силовой 1X25MM2 5 кл. синий 2ИЗ LSZH (1AC053180010),Метр,40,0,40,",001",1,1,",001",",04",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,42,239.372.000062,Кабель силовой 1X25MM2 5 кл. желто-зеленый 2ИЗ LSZH (1AC053180011),Метр,40,0,40,",001694",1,1,",001694",",06776",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,43,189.372.001568,Монтажные материалы Alcatel (RU-INSTMATERIALS),штука,2,0,2,",9",",53",",38",",18126",",36252",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,44,189.372.001545,"Патч-корд оптический DUPL SM LC/PC-LC/PC, 120/135мм (1AB215120093)",штука,4,0,4,",05",",15",",27",",002025",",0081",К05,07.03.2022
2021-12-06,2021-12-09,D1009226_11_НСН,45,169.372.000365,Аттенюатор оптический 3ДБ LC/UPC PLUG FM,штука,3,0,3,",02",",15",",2",",0006",",0018",К05,07.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,1,320.002.000864,Патчкорд SIMPLEX ETSI 3.5м(1AB215120078.),штука,4,0,4,,,,,,К05,03.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,2,189.372.001561,"Патч-корд оптический LC, 185мм (1AB215120087)",штука,2,0,2,",18",",14",",04",",001008",",002016",К05,03.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,3,189.372.001514,"Транспондер Alcatel 11QPA4-11G QPLUGGABLE ANY 4C, от -5 до 65C (8DG60349AC)",штука,1,0,1,",51",",34",",14",",024276",",024276",К05,03.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,5,189.372.001297,"Модуль SLOW EVOA, SFP (1AB156220001)",штука,2,0,2,",03",",06",",14",",000252",",000504",К05,03.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,6,189.372.000490,Модуль ALU XFP DWDM TUNABLE CT (3AL81776AA),штука,2,0,2,",13",",06",",03",",000234",",000468",К05,03.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,7,189.372.001567,Модуль XFP I-64.1/10GBE BASE-L (3AL82055AA),штука,2,0,2,",02",",17",",23",",000782",",001564",К05,03.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,8,169.372.000986,Аттенюатор оптический 12дБ LC/UPC PLUG FM (1AB371250004),штука,2,0,2,",24",",1",",1",",0024",",0048",К05,03.03.2022
2021-11-26,2021-12-05,D1009226_11_НСН,9,189.346.000103,Оптический патч-корд DUPL SM LC (SB) 10М (1AB215120083),штука,2,0,2,0,0,0,",0081",",0162",К05,03.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,12,189.372.001118,Стойка ETSI ONE RACK W/0 TRU/DOOR (8DG09121AAXX),штука,3,0,3,",5",",68","2,26",",7684","2,3052",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,13,189.346.000194,"Шасси PSS8 SHELF KIT PSS8KIT (1XPSS8, 1X8FAN)",штука,2,0,2,",4",",15",",55",",033",",066",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,14,189.372.001284,"Шасси PSS8 SHELF-(INCLUDING PSS8SHF,SHELF PNL) (3KC48901AA)",штука,1,0,1,",55",",45",",28",",0693",",0693",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,15,189.372.000180,"Блок PSS8-8FAN-FAN UNIT,TEMP-HARDEN (3KC48850AA)",штука,1,0,1,",38",",34",",13",",016796",",016796",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,16,189.372.001190,Фильтр воздушный PSS16 (8DG60080AAXX),штука,1,0,1,,,,,,К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,17,189.346.000196,"Блок 8EC2-EQUIPT CONTROLLER-PSS8, TEMP-HARDEN",штука,5,0,5,",35",",4",",15",",021",",105",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,18,189.346.000197,"Блок 8DC30-DC PWR FLTR (30A)-PSS8 W/ ST, TH",штука,5,0,5,",15",",4",",36",",0216",",108",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,19,189.346.000199,Комплект PSS8 INST KIT-19IN EIA,штука,2,0,2,",23",",65",",15",",022425",",04485",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,20,189.346.000198,Комплект PSS8 INST KIT-ETSI,штука,2,0,2,",23",",64",",12",",017664",",035328",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,21,242.372.000040,Кабель CA-DC POWER CABLE DC 3.6M ANGLED (PSS8) (3KC49822AA),штука,4,0,4,",15",",4",",4",",024",",096",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,22,189.372.001549,Блок мультиплексора NSN PSS8-8UP-USER Panel Temp-Hardened (3KC48840AA),штука,2,0,2,",39",",35",",13",",017745",",03549",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,23,189.346.000195,Защитная крышка 8CVR-PSS8 FRONT COVER,штука,2,0,2,",15",",55",",5",",04125",",0825",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,26,261.346.002574,Выключатель автоматический 8345 20A,штука,5,0,5,",07",",065",",015",",00006825",",00034125",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,27,169.346.001810,"Шасси KITPSS16II в составе: 1хSHLF, FAN, 16UP2, AFLTR (3KC49050AB)",штука,1,0,1,"1,2",",8",",74",",7104",",7104",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,28,189.372.001559,Блок вентиляторов 16FAN2-FAN UNIT-PSS16II (3KC48990AB),штука,1,0,1,",3",",2",",6",",036",",036",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,29,189.372.001560,Фильтр воздушный 16AF2-PSS16II AIR FILTER (3KC50040AB),штука,1,0,1,",3",",02",",6",",0036",",0036",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,30,189.372.000079,Блок 32EC2 - HP EQUIPMENT CONTROLLER (8DG62635AA),штука,3,0,3,",15",",35",",4",",021",",063",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,31,189.372.000058,Блок 16DC65-DC PWRFLTR(65A) PSS16II W SMPLTMG (3KC49010AA),штука,3,0,3,",34",",38",",13",",016796",",050388",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,32,189.372.001590,Комплект монтажный ALD 16INSTET-PSS16II INST KIT-ETSI (3KC50013AB) в составе:,штука,1,0,1,",59",",34",",14",",028084",",028084",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,33,189.372.001591,Комплект монтажный ALD 16INST19-PSS16II INST-19IN EIA (3KC50012AB) в составе:,штука,1,0,1,",6",",34",",13",",02652",",02652",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,34,242.372.000098,Кабель PSS16II CA-DC POWER CABLE RIGHT 3.6M (3KC50022AA),штука,1,0,1,",46",",35",",08",",01288",",01288",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,35,242.372.000095,Кабель PSS16II CA-DC POWER CABLE LEFT 3.6M (3KC50021AA),штука,1,0,1,",43",",35",",08",",01204",",01204",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,36,189.372.001551,Крышка 16CVR2-PSS16II front cover kit (3KC50122AC),штука,1,0,1,",59",",36",",14",",029736",",029736",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,37,219.002.000002,Выключатель автоматический 40А для 1830 PDU 1AB017500063,штука,3,0,3,",065",",06",",02",",000078",",000234",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,38,183.372.000003,Блок распределения питания 1830 PDU ETSI,штука,3,0,3,",6",",4",",28",",0672",",2016",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,39,189.346.000061,"Выключатель 8345 (шток), 1AD094650001",штука,6,0,6,",03",",01",",01",",000003",",000018",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,40,217.372.000032,Комплект клемм AWG4 (3AL35096ACXX),штука,6,0,6,",05",",16",",27",",00216",",01296",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,41,169.372.000887,Коробка ATTENUATION DRAWER (1U) (1AD151940001),штука,1,0,1,",58",",39",",14",",031668",",031668",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,42,169.372.000345,Оптический бокс Fiber Storage Tray Kit (1AD151930001),штука,3,0,3,",1",1,1,",1",",3",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,43,217.372.000013,Заглушка MA-FULL SLOT BLANK (8DG59418AAXX),штука,4,0,4,",63",",6",",9",",3402","1,3608",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,44,217.372.000014,Заглушка MA-HALF SLOT BLANK (8DG59419AAXX),штука,3,0,3,",06",",41",",27",",006642",",019926",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,45,189.346.000112,АДАПТЕР HSLADA - HALF SLOT ADAPTER - PSS-32S (8DG09811AA),штука,4,0,4,",3",",1",",1",",003",",012",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,46,189.346.000205,Фильтр статический STATIC FILTER DWDM 8 CHANNEL (A VARIANT),штука,3,0,3,",5",",35",",15",",02625",",07875",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,47,189.372.000327,Комплект для установки OMD (8DG59603AAXX),штука,2,0,2,",11",",3",",14",",00462",",00924",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,48,189.372.000092,Блок 44 CHANNEL OPTICAL MUX/DEMUX (8DG59248AAXX),штука,3,0,3,",12",",66",",34",",026928",",080784",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,49,189.372.000293,Комплект KIT-ANSI/ETSI DCM INSTALLATION K (8DG59417ABXX),штука,3,0,3,"1,6",",8","1,2",",006481013",",019443039",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,50,169.372.001068,Блок OEM-DCM SSMF 30KM,штука,2,0,2,",35",",2",",04",",0028",",0056",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,51,169.372.001069,Блок OEM-DCM SSMF 40KM,штука,2,0,2,",35",",29",",05",",005075",",01015",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,52,169.372.001070,Блок OEM-DCM SSMF 60KM,штука,2,0,2,",35",",3",",09",",00945",",0189",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,53,169.372.001071,Блок DCM SSMF 90KM,штука,2,0,2,",35",",3",",09",",00945",",0189",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,54,169.372.001142,Блок AHPHG - HPOWER HGAIN DWDM AMPLIFIER (8DG59245AB),штука,9,0,9,",8",",53",",45",",1908","1,7172",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,55,189.372.001545,"Патч-корд оптический DUPL SM LC/PC-LC/PC, 120/135мм (1AB215120093)",штука,4,0,4,",05",",15",",27",",002025",",0081",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,56,169.372.000391,Модуль ALD OE-TRX SFP CWDM APD CH51 STM-1/16 (1AB373120001),штука,3,0,3,",13",",06",",03",",000234",",000702",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,57,189.346.000009,Модуль OC3/STM1 APD ULH SFP (1510NM),штука,3,0,3,",05",",15",",3",",00225",",00675",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,58,189.346.000011,Адаптер 1830 ADAPTER ASSEMBLY,штука,2,0,2,",4",",26",",06",",00624",",01248",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,59,169.372.001183,Кабель двухпарный экранированный Etsi 1AC043850003,Метр,30,0,30,",099",",099",",0165",",0001617165",",004851495",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,60,169.372.000376,Патчкорд оптический DUPL SM LC/PC-LC/PC (3.5М),штука,10,0,10,",1",",1",",05",",0005",",005",К05,14.03.2022
2021-12-09,2021-12-14,D1009226_11_НСН,61,169.372.000972,Кабель Simplex Jumper (3.5м) - ETSI (1AB215120078),штука,28,0,28,",1",",1",",1",",001",",028",К05,14.03.2022
