год,неделя,Расход,МРМосква,МРСеверозапад,МРУрал,Общий итог,Месяц
2021.0,52,модули/блоки,124.0,32.0,59.0,1589.0,12.0
2022.0,2,БС,9.0,10.0,4.0,57.0,1.0
2022.0,2,модули/блоки,143.0,33.0,4.0,199.0,1.0
2022.0,3,БС,31.0,37.0,5.0,175.0,1.0
2022.0,3,модули/блоки,181.0,78.0,,326.0,1.0
2022.0,4,БС,27.0,26.0,9.0,139.0,1.0
2022.0,4,модули/блоки,220.0,102.0,58.0,800.0,1.0
2022.0,5,БС,20.0,24.0,14.0,170.0,1.0
2022.0,5,модули/блоки,171.0,87.0,19.0,502.0,1.0
2022.0,6,БС,26.0,44.0,24.0,422.0,2.0
2022.0,6,модули/блоки,210.0,100.0,40.0,930.0,2.0
2022.0,7,БС,33.0,56.0,10.0,327.0,2.0
2022.0,7,модули/блоки,271.0,47.0,5.0,717.0,2.0
2022.0,8,БС,24.0,27.0,16.0,186.0,2.0
2022.0,8,модули/блоки,189.0,33.0,29.0,496.0,2.0
2022.0,9,БС,63.0,41.0,36.0,384.0,2.0
2022.0,9,модули/блоки,161.0,94.0,24.0,700.0,2.0
2022.0,10,БС,8.0,27.0,14.0,279.0,3.0
2022.0,10,модули/блоки,51.0,63.0,25.0,454.0,3.0
2022.0,11,БС,7.0,1.0,14.0,139.0,3.0
2022.0,11,модули/блоки,41.0,12.0,6.0,231.0,3.0
2022.0,12,БС,6.0,7.0,,21.0,3.0
2022.0,12,модули/блоки,85.0,102.0,1.0,347.0,3.0
2022.0,13,БС,4.0,24.0,4.0,154.0,3.0
2022.0,13,модули/блоки,122.0,95.0,6.0,501.0,3.0
2022.0,14,БС,6.0,14.0,5.0,80.0,4.0
2022.0,14,модули/блоки,55.0,83.0,21.0,319.0,4.0
2022.0,15,БС,17.0,,,70.0,4.0
2022.0,15,модули/блоки,97.0,19.0,8.0,259.0,4.0
2022.0,16,БС,22.0,4.0,3.0,83.0,4.0
2022.0,16,модули/блоки,101.0,68.0,5.0,331.0,4.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,В неделю,,,,,
,БС,СР.Сзнач БС,43.81395348837209,52.19512195121951,24.325581395348838,,
,,СР.СзначМодули/блоки,170.04651162790697,78.21951219512195,50.325581395348834,,
