№ Площадки,Регион,Площадка,Тип БС,Диапазон,"Дата ТЭ 
(ЧЧ.ММ.ГГ)","Год 
плана",exМР
PL_78_1309,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1314,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-06-26,2021,МР Северо-Запад
PL_78_1314,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-06-26,2021,МР Северо-Запад
PL_78_1314,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-26,2021,МР Северо-Запад
PL_78_1314,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-10-26,2021,МР Северо-Запад
PL_78_1341,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-07-28,2021,МР Северо-Запад
PL_78_1347,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-03,2021,МР Северо-Запад
PL_78_1355,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-03-02,2021,МР Северо-Запад
PL_78_1355,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-03-02,2021,МР Северо-Запад
PL_78_1364,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-18,2021,МР Северо-Запад
PL_78_1367,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-05-01,2021,МР Северо-Запад
PL_78_1367,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-01,2021,МР Северо-Запад
PL_78_1376,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1377,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-18,2021,МР Северо-Запад
PL_78_1386,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_1387,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-07-15,2021,МР Северо-Запад
PL_78_1390,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-20,2021,МР Северо-Запад
PL_78_1411,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1418,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-01-21,2021,МР Северо-Запад
PL_78_1448,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-18,2021,МР Северо-Запад
PL_78_1452,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-25,2021,МР Северо-Запад
PL_78_1457,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-06,2021,МР Северо-Запад
PL_78_1459,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-10,2021,МР Северо-Запад
PL_78_1464,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-11-01,2021,МР Северо-Запад
PL_78_1467,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-07-01,2021,МР Северо-Запад
PL_78_1472,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-10,2021,МР Северо-Запад
PL_78_1476,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-11,2021,МР Северо-Запад
PL_78_1497,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_1505,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-02-10,2021,МР Северо-Запад
PL_78_1510,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-15,2021,МР Северо-Запад
PL_78_1511,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-13,2021,МР Северо-Запад
PL_78_1519,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-25,2021,МР Северо-Запад
PL_78_1524,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-07-16,2021,МР Северо-Запад
PL_78_1528,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-08-07,2021,МР Северо-Запад
PL_78_1530,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-19,2021,МР Северо-Запад
PL_78_1540,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-12-26,2021,МР Северо-Запад
PL_78_1541,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-10-23,2021,МР Северо-Запад
PL_78_1542,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-03-04,2021,МР Северо-Запад
PL_78_1546,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-15,2021,МР Северо-Запад
PL_78_1561,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-15,2021,МР Северо-Запад
PL_78_1562,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-12-26,2021,МР Северо-Запад
PL_78_1564,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-28,2021,МР Северо-Запад
PL_78_1568,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-06,2021,МР Северо-Запад
PL_78_1568,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-06,2021,МР Северо-Запад
PL_78_1569,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-26,2021,МР Северо-Запад
PL_78_1571,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-18,2021,МР Северо-Запад
PL_78_1576,С.-Петербург и Ленинградская область,CS,БС,NI-900,2021-12-31,2021,МР Северо-Запад
PL_78_1578,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-27,2021,МР Северо-Запад
PL_78_1578,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1579,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-25,2021,МР Северо-Запад
PL_78_1589,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-04-08,2021,МР Северо-Запад
PL_78_1603,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-23,2021,МР Северо-Запад
PL_78_1612,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-02-10,2021,МР Северо-Запад
PL_78_1617,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-09-04,2021,МР Северо-Запад
PL_78_1626,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-20,2021,МР Северо-Запад
PL_78_1636,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-27,2021,МР Северо-Запад
PL_78_1636,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1645,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-10,2021,МР Северо-Запад
PL_78_1651,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-03-17,2021,МР Северо-Запад
PL_78_1667,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-24,2021,МР Северо-Запад
PL_78_1670,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-01-27,2021,МР Северо-Запад
PL_78_1677,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-02-10,2021,МР Северо-Запад
PL_78_1679,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-03,2021,МР Северо-Запад
PL_78_1680,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-10-05,2021,МР Северо-Запад
PL_78_1682,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-04-22,2021,МР Северо-Запад
PL_78_1686,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-27,2021,МР Северо-Запад
PL_78_1686,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1691,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-14,2021,МР Северо-Запад
PL_78_1691,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1700,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-05-01,2021,МР Северо-Запад
PL_78_1702,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-15,2021,МР Северо-Запад
PL_78_1703,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-02,2021,МР Северо-Запад
PL_78_1711,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-04-03,2021,МР Северо-Запад
PL_78_1711,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-03,2021,МР Северо-Запад
PL_78_1743,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-24,2021,МР Северо-Запад
PL_78_1761,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-07,2021,МР Северо-Запад
PL_78_1761,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-08-01,2021,МР Северо-Запад
PL_78_1763,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-07-17,2021,МР Северо-Запад
PL_78_1766,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-08,2021,МР Северо-Запад
PL_78_1786,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-07-03,2021,МР Северо-Запад
PL_78_1789,С.-Петербург и Ленинградская область,CS,БС,NI-900,2021-12-31,2021,МР Северо-Запад
PL_78_1800,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-02-17,2021,МР Северо-Запад
PL_78_1805,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-01-20,2021,МР Северо-Запад
PL_78_1811,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-02-08,2021,МР Северо-Запад
PL_78_1840,С.-Петербург и Ленинградская область,CS,БС,NI-900,2021-12-31,2021,МР Северо-Запад
PL_78_1848,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-11,2021,МР Северо-Запад
PL_78_1858,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-05,2021,МР Северо-Запад
PL_78_1860,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_1870,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-13,2021,МР Северо-Запад
PL_78_1879,С.-Петербург и Ленинградская область,CS,БС,NI-900,2021-12-31,2021,МР Северо-Запад
PL_78_1883,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-10-04,2021,МР Северо-Запад
PL_78_1888,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-15,2021,МР Северо-Запад
PL_78_1897,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-06-29,2021,МР Северо-Запад
PL_78_1901,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-27,2021,МР Северо-Запад
PL_78_1901,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1903,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-07-02,2021,МР Северо-Запад
PL_78_1903,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-27,2021,МР Северо-Запад
PL_78_1913,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-05,2021,МР Северо-Запад
PL_78_1923,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-21,2021,МР Северо-Запад
PL_78_1923,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-21,2021,МР Северо-Запад
PL_78_1933,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-25,2021,МР Северо-Запад
PL_78_1937,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-13,2021,МР Северо-Запад
PL_78_1939,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-26,2021,МР Северо-Запад
PL_78_1948,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_1951,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-15,2021,МР Северо-Запад
PL_78_1963,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-02-12,2021,МР Северо-Запад
PL_78_1973,С.-Петербург и Ленинградская область,CS,БС,NI-900,2021-04-16,2021,МР Северо-Запад
PL_78_2019,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-01-20,2021,МР Северо-Запад
PL_78_2030,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-19,2021,МР Северо-Запад
PL_78_2060,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-04,2021,МР Северо-Запад
PL_78_2063,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-05-11,2021,МР Северо-Запад
PL_78_2063,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-11,2021,МР Северо-Запад
PL_78_2078,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-03,2021,МР Северо-Запад
PL_78_2081,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-04,2021,МР Северо-Запад
PL_78_2086,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-10,2021,МР Северо-Запад
PL_78_2095,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-05-08,2021,МР Северо-Запад
PL_78_2096,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-07,2021,МР Северо-Запад
PL_78_2101,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-24,2021,МР Северо-Запад
PL_78_2103,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-29,2021,МР Северо-Запад
PL_78_2105,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-08,2021,МР Северо-Запад
PL_78_2132,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-05,2021,МР Северо-Запад
PL_78_2146,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-13,2021,МР Северо-Запад
PL_78_2160,С.-Петербург и Ленинградская область,CS,Микро/метро БС,LTE-2600,2021-06-30,2021,МР Северо-Запад
PL_78_2172,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_78_2179,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-12,2021,МР Северо-Запад
PL_78_2179,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-12,2021,МР Северо-Запад
PL_78_2187,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-15,2021,МР Северо-Запад
PL_78_2187,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-15,2021,МР Северо-Запад
PL_78_2194,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-02-11,2021,МР Северо-Запад
PL_78_2213,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-26,2021,МР Северо-Запад
PL_78_2215,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-09-25,2021,МР Северо-Запад
PL_78_2216,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-19,2021,МР Северо-Запад
PL_78_2221,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-04,2021,МР Северо-Запад
PL_78_2232,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-25,2021,МР Северо-Запад
PL_78_2232,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-26,2021,МР Северо-Запад
PL_78_2235,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-31,2021,МР Северо-Запад
PL_78_2239,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-07-25,2021,МР Северо-Запад
PL_78_2240,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_2294,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-24,2021,МР Северо-Запад
PL_78_2335,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-15,2021,МР Северо-Запад
PL_78_2336,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-03-28,2021,МР Северо-Запад
PL_78_2336,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-03-28,2021,МР Северо-Запад
PL_78_2363,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-26,2021,МР Северо-Запад
PL_78_2394,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-21,2021,МР Северо-Запад
PL_78_2413,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-24,2021,МР Северо-Запад
PL_78_2425,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-15,2021,МР Северо-Запад
PL_78_2435,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-10,2021,МР Северо-Запад
PL_78_2444,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-25,2021,МР Северо-Запад
PL_78_2445,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-06,2021,МР Северо-Запад
PL_78_2452,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-03-04,2021,МР Северо-Запад
PL_78_2452,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-04,2021,МР Северо-Запад
PL_78_2468,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-22,2021,МР Северо-Запад
PL_78_2483,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-09,2021,МР Северо-Запад
PL_78_2490,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-08,2021,МР Северо-Запад
PL_78_2494,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-03,2021,МР Северо-Запад
PL_78_2511,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-03,2021,МР Северо-Запад
PL_78_2515,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-22,2021,МР Северо-Запад
PL_78_2518,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-25,2021,МР Северо-Запад
PL_78_2523,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-18,2021,МР Северо-Запад
PL_78_2527,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-18,2021,МР Северо-Запад
PL_78_2530,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-25,2021,МР Северо-Запад
PL_78_2530,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-25,2021,МР Северо-Запад
PL_78_2537,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-09-25,2021,МР Северо-Запад
PL_78_2538,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-04,2021,МР Северо-Запад
PL_78_2538,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-07-15,2021,МР Северо-Запад
PL_78_2540,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-14,2021,МР Северо-Запад
PL_78_2540,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-14,2021,МР Северо-Запад
PL_78_2552,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-08-30,2021,МР Северо-Запад
PL_78_2553,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-20,2021,МР Северо-Запад
PL_78_2558,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-21,2021,МР Северо-Запад
PL_78_2560,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-11,2021,МР Северо-Запад
PL_78_2564,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-03-04,2021,МР Северо-Запад
PL_78_2564,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-10,2021,МР Северо-Запад
PL_78_2567,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-13,2021,МР Северо-Запад
PL_78_2567,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-13,2021,МР Северо-Запад
PL_78_2605,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-08,2021,МР Северо-Запад
PL_78_2630,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-25,2021,МР Северо-Запад
PL_78_2636,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-05-21,2021,МР Северо-Запад
PL_78_2636,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-21,2021,МР Северо-Запад
PL_78_2664,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-02-15,2021,МР Северо-Запад
PL_78_2708,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-13,2021,МР Северо-Запад
PL_78_2712,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-04,2021,МР Северо-Запад
PL_78_2794,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-03,2021,МР Северо-Запад
PL_78_2796,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-26,2021,МР Северо-Запад
PL_78_2823,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-23,2021,МР Северо-Запад
PL_78_2832,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-15,2021,МР Северо-Запад
PL_78_2844,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-10-26,2021,МР Северо-Запад
PL_78_2844,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-10-26,2021,МР Северо-Запад
PL_78_2851,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-05,2021,МР Северо-Запад
PL_78_2859,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-12-31,2021,МР Северо-Запад
PL_78_2881,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-04,2021,МР Северо-Запад
PL_78_2893,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-02-21,2021,МР Северо-Запад
PL_78_2898,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-02,2021,МР Северо-Запад
PL_78_2906,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-05-01,2021,МР Северо-Запад
PL_78_2939,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-05-16,2021,МР Северо-Запад
PL_78_2941,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-04-05,2021,МР Северо-Запад
PL_78_2953,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-09,2021,МР Северо-Запад
PL_78_2953,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-10,2021,МР Северо-Запад
PL_78_2967,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-07-17,2021,МР Северо-Запад
PL_78_2968,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-27,2021,МР Северо-Запад
PL_78_2970,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-07-21,2021,МР Северо-Запад
PL_78_2973,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-24,2021,МР Северо-Запад
PL_78_2989,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-04,2021,МР Северо-Запад
PL_78_2994,С.-Петербург и Ленинградская область,CS ID,БС,DCS-1800,2021-03-18,2021,МР Северо-Запад
PL_78_2994,С.-Петербург и Ленинградская область,CS ID,БС,LTE-1800,2021-03-18,2021,МР Северо-Запад
PL_78_2998,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-29,2021,МР Северо-Запад
PL_78_6122,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-19,2021,МР Северо-Запад
PL_78_6137,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-03,2021,МР Северо-Запад
PL_78_6137,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-14,2021,МР Северо-Запад
PL_78_6139,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_6145,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-12,2021,МР Северо-Запад
PL_78_6150,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-12,2021,МР Северо-Запад
PL_78_6197,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-09-06,2021,МР Северо-Запад
PL_78_6202,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-09,2021,МР Северо-Запад
PL_78_6202,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-05,2021,МР Северо-Запад
PL_78_6208,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-06-28,2021,МР Северо-Запад
PL_78_6209,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-05-11,2021,МР Северо-Запад
PL_78_6209,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-11,2021,МР Северо-Запад
PL_78_6210,С.-Петербург и Ленинградская область,CS,БС,NI-1800,2021-08-17,2021,МР Северо-Запад
PL_78_6218,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-04-01,2021,МР Северо-Запад
PL_78_6218,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_6224,С.-Петербург и Ленинградская область,CS,БС,LTE-1800,2021-04-03,2021,МР Северо-Запад
PL_78_6224,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-03,2021,МР Северо-Запад
PL_78_6242,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-10,2021,МР Северо-Запад
PL_78_6253,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-21,2021,МР Северо-Запад
PL_78_6269,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-05-13,2021,МР Северо-Запад
PL_78_6308,С.-Петербург и Ленинградская область,CS,БС,LTE-2600,2021-06-30,2021,МР Северо-Запад
PL_78_6309,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-01,2021,МР Северо-Запад
PL_78_6310,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-17,2021,МР Северо-Запад
PL_78_6386,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-02-04,2021,МР Северо-Запад
PL_78_6389,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-03-02,2021,МР Северо-Запад
PL_78_6394,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-03,2021,МР Северо-Запад
PL_78_6417,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-04-08,2021,МР Северо-Запад
PL_78_6420,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-08-26,2021,МР Северо-Запад
PL_78_6463,С.-Петербург и Ленинградская область,CS,БС,LTE-2600-TDD,2021-06-02,2021,МР Северо-Запад
