Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора,Группа,Наименовнание группы,БС,Месяц,Год
109.0,244.022.000031,"Сборка Huawei кабельная медная 100м, RJ-45-RJ-45, Outdoor",штука,2.0,0.0,2.0,",08",",32",",32",",008192",0.016384,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
110.0,244.022.000033,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 50м, Outdoor (FDLCUPC05)",штука,6.0,0.0,6.0,",1",",34",",34",",01156",0.06936,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
111.0,244.022.000034,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 70м, Outdoor (FDLCUPC07)",штука,6.0,0.0,6.0,",375",",375",",35",",04921875",0.2953125,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
112.0,244.022.000035,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 100м, Outdoor (FDLCUPC10)",штука,4.0,0.0,4.0,",23",",38",",38",",033212",0.132848,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
113.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,16.0,0.0,16.0,1,1,",000448",",000448",0.007168,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
114.0,161.346.000102,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 10Гбит/с, 750Мгц, PoE and DC, Config.3, High",штука,1.0,0.0,1.0,",6",",4",",35",",084",0.084,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
115.0,161.346.000101,"Блок внешний РРЛ Huawei RTN 380AX, 80Ггц, 10Гбит/с, 750Мгц, PoE and DC, Config.3, Low",штука,1.0,0.0,1.0,",6",",4",",35",",084",0.084,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
116.0,181.022.000001,Разъем питания Huawei для RTN 380 Power connector (SLEPWPRCK1),штука,2.0,0.0,2.0,",38",",1",",23",",00874",0.01748,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
117.0,157.346.000098,Антенна РРЛ Huawei 80Ггц 0.6м UHP Single (A80S06MAC-3NX),штука,2.0,0.0,2.0,",4",",7",",7",",196",0.392,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
118.0,181.346.000357,"Модуль оптический Huawei eSFP kit for GE or 1.25G CPRI, 10км, SM",штука,2.0,0.0,2.0,",04",",14",",17",",000952",0.001904,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
119.0,181.346.000358,"Модуль оптический Huawei eSFP kit for 10GE or 10G CPRI, 1.4км, SM",штука,10.0,0.0,10.0,",1",",05",",05",",00025",0.0025,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
120.0,239.022.000060,"Кабель питания Huawei 2х2.5мм2, black, LSZH, Outdoor",Метр,200.0,0.0,200.0,",000212",1,1,",000212",0.0424,702,31.03.2021,239.0,Кабель для БС,0,3.0,2021.0
121.0,244.022.000030,"Сборка Huawei кабельная медная 75м, RJ-45-RJ-45, Outdoor",штука,1.0,0.0,1.0,",385",",355",",1",",0136675",0.0136675,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
122.0,244.022.000031,"Сборка Huawei кабельная медная 100м, RJ-45-RJ-45, Outdoor",штука,1.0,0.0,1.0,",08",",32",",32",",008192",0.008192,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
123.0,244.022.000034,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 70м, Outdoor (FDLCUPC07)",штука,2.0,0.0,2.0,",375",",375",",35",",04921875",0.0984375,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
124.0,244.022.000035,"Cборка Huawei кабельная оптическая для РРЛ SM DLC/DLC 100м, Outdoor (FDLCUPC10)",штука,2.0,0.0,2.0,",23",",38",",38",",033212",0.066424,702,31.03.2021,244.0,АФУ,0,3.0,2021.0
125.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,2.0,0.0,2.0,1,1,",000448",",000448",0.000896,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
126.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,4.0,0.0,4.0,",4",",6",",2",,,702,31.03.2021,160.0,РРЛ,0,3.0,2021.0
127.0,161.346.000119,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, Low",штука,4.0,0.0,4.0,",4",",35",",2",",028",0.112,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
128.0,161.346.000120,"Радиоблок внешний ODU Huawei RTN XMC-2H 11ГГц, 520МГц, SB A, High",штука,4.0,0.0,4.0,",4",",35",",2",",028",0.112,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
129.0,157.346.000113,"Антенна РРЛ Huawei 11ГГц, 1.2м UHP Dual Polarization (A10WD12MAC-3NX)",штука,4.0,0.0,4.0,"1,37",",38","1,54",",801724",3.206896,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
130.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,8.0,0.0,8.0,1,1,",000448",",000448",0.003584,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
131.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,800.0,0.0,800.0,",063",",062",",051",",000199174",0.1593392,702,31.03.2021,238.0,АФУ,0,3.0,2021.0
132.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,4.0,0.0,4.0,",4",",6",",2",,,702,31.03.2021,160.0,РРЛ,0,3.0,2021.0
133.0,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
134.0,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
135.0,161.346.000136,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, Low",штука,1.0,0.0,1.0,",37",",37",",17",",023273",0.023273,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
136.0,161.346.000137,"Радиоблок внешний ODU Huawei RTN XMC-5D 18ГГц, 1010МГц, SB A, High",штука,1.0,0.0,1.0,",37",",37",",17",",023273",0.023273,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
137.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,8.0,0.0,8.0,",38",",23",",1",",00874",0.06992,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
138.0,157.346.000124,"Антенна РРЛ Huawei 13Ггц, 0.9м для XMC-5D UHP Dual Polarization (A13D09MDD-3NX)",штука,2.0,0.0,2.0,"1,1","5,3","1,27","7,4041",14.8082,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
139.0,157.346.000122,Антенна РРЛ Huawei 18Ггц 1.2м для XMC-5D UHP Dual Polarization (A18D12MDD-3NX),штука,2.0,0.0,2.0,"1,37",",38","1,54",",801724",1.603448,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
140.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,8.0,0.0,8.0,1,1,",000448",",000448",0.003584,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
141.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,500.0,0.0,500.0,",063",",062",",051",",000199174",0.099587,702,31.03.2021,238.0,АФУ,0,3.0,2021.0
142.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",2",,,702,31.03.2021,160.0,РРЛ,0,3.0,2021.0
143.0,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
144.0,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
145.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
146.0,157.346.000120,Антенна РРЛ Huawei 13Ггц 1.2м для XMC-5D UHP Dual Polarization (A13D12MDD-3NX),штука,2.0,0.0,2.0,"1,4",",38","1,6",",8512",1.7024,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
147.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
148.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,200.0,0.0,200.0,",063",",062",",051",",000199174",0.0398348,702,31.03.2021,238.0,АФУ,0,3.0,2021.0
149.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",2",,,702,31.03.2021,160.0,РРЛ,0,3.0,2021.0
150.0,161.346.000126,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, High",штука,2.0,0.0,2.0,",37",",28",",12",",012432",0.024864,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
151.0,161.346.000127,"Радиоблок внешний ODU Huawei RTN XMC-3W-18G 18ГГц, 1010МГц, SB AA, Low",штука,2.0,0.0,2.0,",37",",28",",12",",012432",0.024864,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
152.0,157.346.000118,"Антенна РРЛ Huawei 18ГГц, 0.6м UHP Dual Polarization (A18D06MAC-3NX)",штука,2.0,0.0,2.0,",7",",79",",35",",19355",0.3871,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
153.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",2",,,702,31.03.2021,160.0,РРЛ,0,3.0,2021.0
154.0,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
155.0,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
156.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
157.0,157.346.000123,"Антенна РРЛ Huawei 13Ггц, 0.6м для XMC-5D UHP Dual Polarization (A13D06MDD-3NX)",штука,2.0,0.0,2.0,",7",",79",",35",",19355",0.3871,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
158.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
159.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,200.0,0.0,200.0,",063",",062",",051",",000199174",0.0398348,702,31.03.2021,238.0,АФУ,0,3.0,2021.0
160.0,160.346.000041,"Блок внутренний IDU Huawei RTN 910AF, 2хGE RJ45, 4х10GE SFP+, 16хE1, 2хIF IDU, Конфигурация 3.1A (IP)",штука,2.0,0.0,2.0,",4",",6",",2",,,702,31.03.2021,160.0,РРЛ,0,3.0,2021.0
161.0,161.346.000128,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, Low",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
162.0,161.346.000129,"Радиоблок внешний ODU Huawei RTN XMC-5D 13ГГц, 266МГц, SB A, High",штука,1.0,0.0,1.0,",38",",36",",16",",021888",0.021888,702,31.03.2021,161.0,РРЛ,0,3.0,2021.0
163.0,181.022.000004,Инсталяционные материалы Huawei для ODU XMC-5D Installation Accessories (RG-8U) IFODURGX501,штука,4.0,0.0,4.0,",38",",23",",1",",00874",0.03496,702,31.03.2021,181.0,РРЛ,0,3.0,2021.0
164.0,157.346.000120,Антенна РРЛ Huawei 13Ггц 1.2м для XMC-5D UHP Dual Polarization (A13D12MDD-3NX),штука,2.0,0.0,2.0,"1,4",",38","1,6",",8512",1.7024,702,31.03.2021,157.0,РРЛ,0,3.0,2021.0
165.0,249.022.000011,"Приемопередатчик оптический (eSFP, 1310нм, 1.25Гб/c, -9дБм..-3дБм, -20дБм, LC, одномодовый,10км), eSFP-1310нм-1000Base-Lx SM",штука,4.0,0.0,4.0,1,1,",000448",",000448",0.001792,702,31.03.2021,249.0,Мультиплексоры,0,3.0,2021.0
166.0,238.022.000060,Кабель коаксиальный для РРЛ Huawei 1/2 RG-8U,Метр,400.0,0.0,400.0,",063",",062",",051",",000199174",0.0796696,702,31.03.2021,238.0,АФУ,0,3.0,2021.0
1.0,189.022.001797,"Плата преобразования длины волны Huawei для сервиса 100Гбит/с, без линейного модуля (TN19LSC)",штука,3.0,0.0,3.0,",38",",38",",27",",038988",0.116964,К04,,189.0,Мультиплексоры,0,1.0,1900.0
2.0,189.022.001638,"Модуль оптический CFP2, 4х25Гбит/с, 4х28Гбит/с, 1310нм Band, 103.125-111.81Гбит/с, -1.3дБм, 4.5дБм, -8.6дБм, LC straight, SMF, 10км Huawei OSN010N14",штука,3.0,0.0,3.0,",02",",25",",1",",0005",0.0015,К04,,189.0,Мультиплексоры,0,1.0,1900.0
3.0,189.022.001798,"Модуль оптический CFPT51, 100Гбит/с, SLH, SDFEC2, когерентный, перестраиваемый, расширенный С-диапазон, -5дБм, -1дБм, -16дБм, фиксированная сетка частот, Huawei TN12C1CFPT51",штука,3.0,0.0,3.0,",22",",17",",09",",003366",0.010098,К04,,189.0,Мультиплексоры,0,1.0,1900.0
4.0,189.022.001808,"Плата мультиплексирования Huawei 2x100Гбит/с (12x10Гбит/с) в 1x200G/100G, программируемая, преобразования длины волны (CFP2) в составе: лицензия на емкость 100G (TNG1M520SM01)",штука,2.0,0.0,2.0,",5",",5",",5",,,К04,,189.0,Мультиплексоры,0,1.0,1900.0
5.0,189.022.001809,"Модуль оптический Huawei 200G CFP2A24 LHD, SDFEC2 200G e16QAM/100G QPSK/etc., программируемая скорость, когерентный, перестраиваемый, расширенный С-диапазон,- 10дБм..-1дБм, -18дБм, гибкая сетка частот (TN13C2CFP2A24)",штука,2.0,0.0,2.0,",5",",5",",5",,,К04,,189.0,Мультиплексоры,0,1.0,1900.0
6.0,189.022.001650,"Модуль оптический SFP+, 1310нм, 8.5-11.1Гбит/с, with CDR, -6.0дБм, -1.0дБм, -14.4дБм, LC, SM, 10км Huawei OSX010N01",штука,11.0,0.0,11.0,",02",",02",",07",",000028",0.000308,К04,,189.0,Мультиплексоры,0,1.0,1900.0
11.0,169.022.000090,"Аттенюатор Huawei оптический,1310/1550nm-5db-LC/PC- 45 db",штука,1.0,0.0,1.0,",01",",01",",04",",000003",3e-06,К04,,169.0,Мультиплексоры,0,1.0,1900.0
12.0,169.022.000120,"Аттенюатор/Fixed Optical Attenuator,1310/1550nm,7dB,LC/PC,>45dB SS-OP-ATN-LC-7",штука,10.0,0.0,10.0,",01",",01",",01",",000001",1e-05,К04,,169.0,Мультиплексоры,0,1.0,1900.0
13.0,169.346.001631,Патч-корд LC/UPC-LC/UPC,штука,2.0,0.0,2.0,,,,,,К04,,169.0,Мультиплексоры,0,1.0,1900.0
1.0,189.022.001797,"Плата преобразования длины волны Huawei для сервиса 100Гбит/с, без линейного модуля (TN19LSC)",штука,1.0,0.0,1.0,",38",",38",",27",",038988",0.038988,К04,,189.0,Мультиплексоры,0,1.0,1900.0
2.0,189.022.001638,"Модуль оптический CFP2, 4х25Гбит/с, 4х28Гбит/с, 1310нм Band, 103.125-111.81Гбит/с, -1.3дБм, 4.5дБм, -8.6дБм, LC straight, SMF, 10км Huawei OSN010N14",штука,7.0,0.0,7.0,",02",",25",",1",",0005",0.0035,К04,,189.0,Мультиплексоры,0,1.0,1900.0
3.0,189.022.001798,"Модуль оптический CFPT51, 100Гбит/с, SLH, SDFEC2, когерентный, перестраиваемый, расширенный С-диапазон, -5дБм, -1дБм, -16дБм, фиксированная сетка частот, Huawei TN12C1CFPT51",штука,1.0,0.0,1.0,",22",",17",",09",",003366",0.003366,К04,,189.0,Мультиплексоры,0,1.0,1900.0
4.0,189.022.001742,Карта линейная сервисная Huawei TNU5N404C01 обработки 4х100G CFP,штука,2.0,0.0,2.0,",17",",67",",43",",048977",0.097954,К04,,189.0,Мультиплексоры,0,1.0,1900.0
5.0,189.022.001746,"Плата трибутарная Huawei TNV3T404, 4х100G (CFP2)",штука,2.0,0.0,2.0,",17",",57",",67",",064923",0.129846,К04,,189.0,Мультиплексоры,0,1.0,1900.0
6.0,189.022.001675,"Модуль когерентный перестраиваемый 100Гбит/с, CFPT5U, ULH+, SDFEC2, Coherent, Tunable, Extended C Band, -5дБм, -1дБм, -16дБм, 50ГГц, LC Huawei TN11C1CFPT5U",штука,6.0,0.0,6.0,",09",",18",",22",",003564",0.021384,К04,,189.0,Мультиплексоры,0,1.0,1900.0
1.0,189.022.001810,"Подстатив Huawei OptiX OSN 1800 II TP 2U, DC (TMBK01AFB)",штука,4.0,0.0,4.0,",3",",3",",1",",009",0.036,К04,,189.0,Мультиплексоры,0,1.0,1900.0
2.0,189.022.001811,"Блок резервирования оптической линии Huawei 1310/1550нм, 1х1 (TMB1OLP)",штука,4.0,0.0,4.0,",5",",5",",1",",025",0.1,К04,,189.0,Мультиплексоры,0,1.0,1900.0
3.0,189.022.001812,"Плата связи и управления системой с поддержкой Huawei с OSC, 1х1 (TMB1SCC)",штука,4.0,0.0,4.0,",4",",3",",1",",012",0.048,К04,,189.0,Мультиплексоры,0,1.0,1900.0
4.0,189.022.001540,"Аттенюатор оптический перестраиваемый, ручная настройка, двойной, 1290/1610нм, 0-30дБ, 2.0дБ, 40дБ, 2мм, 2.5м, LC/PC Huawei SSC-OP-MVOA-D402",штука,4.0,0.0,4.0,,,,,,К04,,189.0,Мультиплексоры,0,1.0,1900.0
5.0,189.022.001131,"Адаптер,2LC/PC-2LC/PC,4,Blue,Shell:Plastic,Sleeve:Zirconia,Square",штука,4.0,0.0,4.0,,,,,,К04,,189.0,Мультиплексоры,0,1.0,1900.0
6.0,320.022.000493,"Подстатив Huawei OptiX OSN 1800 II TP 2U, DC (TMBK01AFB)",штука,1.0,0.0,1.0,",3",",3",",1",",009",0.009,К04,,320.0,Группы вне проекта,0,1.0,1900.0
7.0,320.022.000494,"Блок резервирования оптической линии Huawei 1310/1550нм, 1х1 (TMB1OLP)",штука,1.0,0.0,1.0,",5",",5",",1",",025",0.025,К04,,320.0,Группы вне проекта,0,1.0,1900.0
8.0,320.022.000495,"Плата связи и управления системой с поддержкой Huawei с OSC, 1х1 (TMB1SCC)",штука,1.0,0.0,1.0,",4",",3",",1",",012",0.012,К04,,320.0,Группы вне проекта,0,1.0,1900.0
1.0,189.372.001118,Стойка ETSI ONE RACK W/0 TRU/DOOR (8DG09121AAXX),штука,6.0,0.0,6.0,",5",",68","2,26",",7684",4.6104,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
2.0,169.372.000981,"Панель питания-ETSI - 4-I,12-O",штука,6.0,0.0,6.0,"2,055",",2",",2",",0822",0.4932,101,14.02.2021,169.0,Мультиплексоры,0,2.0,2021.0
3.0,213.372.000016,Комплект перемычек для PDU (1AD093280001),штука,12.0,0.0,12.0,",15",",23",",01",",000345",0.00414,101,14.02.2021,213.0,АФУ,0,2.0,2021.0
4.0,217.372.000031,Комплект клемм AWG2 (3AL35096ABXX),штука,24.0,0.0,24.0,",04",",16",",27",",001728",0.041472,101,14.02.2021,217.0,Группы вне проекта,0,2.0,2021.0
5.0,217.372.000032,Комплект клемм AWG4 (3AL35096ACXX),штука,24.0,0.0,24.0,",05",",16",",27",",00216",0.05184,101,14.02.2021,217.0,Группы вне проекта,0,2.0,2021.0
6.0,217.372.000033,Комплект клемм AWG6 (3AL35096ADXX),штука,24.0,0.0,24.0,",04",",16",",27",",001728",0.041472,101,14.02.2021,217.0,Группы вне проекта,0,2.0,2021.0
7.0,169.346.001810,"Шасси KITPSS16II в составе: 1хSHLF, FAN, 16UP2, AFLTR (3KC49050AB)",штука,6.0,0.0,6.0,"1,2",",8",",74",",7104",4.2624,101,14.02.2021,169.0,Мультиплексоры,0,2.0,2021.0
8.0,189.372.000079,Блок 32EC2 - HP EQUIPMENT CONTROLLER (8DG62635AA),штука,12.0,0.0,12.0,",15",",35",",4",",021",0.252,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
9.0,189.372.001547,Плата 16DC65T-DCPWRFLTR 63A PSS16II W (3KC49020AA),штука,13.0,0.0,13.0,",52",",34",",13",",022984",0.298792,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
10.0,219.002.000002,Выключатель автоматический 40А для 1830 PDU 1AB017500063,штука,12.0,0.0,12.0,0,0,0,",0076",0.0912,101,14.02.2021,219.0,ЭПУ,0,2.0,2021.0
11.0,189.372.001591,Комплект монтажный ALD 16INST19-PSS16II INST-19IN EIA (3KC50012AB) в составе:,штука,6.0,0.0,6.0,",2",",2",",2",,,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
12.0,189.372.001551,Крышка 16CVR2-PSS16II front cover kit (3KC50122AC),штука,6.0,0.0,6.0,",59",",36",",14",",029736",0.178416,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
13.0,217.372.000013,Заглушка MA-FULL SLOT BLANK (8DG59418AAXX),штука,8.0,0.0,8.0,",63",",6",",9",",3402",2.7216,101,14.02.2021,217.0,Группы вне проекта,0,2.0,2021.0
14.0,242.372.000098,Кабель PSS16II CA-DC POWER CABLE RIGHT 3.6M (3KC50022AA),штука,6.0,0.0,6.0,",46",",35",",08",",01288",0.07728,101,14.02.2021,242.0,АФУ,0,2.0,2021.0
15.0,242.372.000095,Кабель PSS16II CA-DC POWER CABLE LEFT 3.6M (3KC50021AA),штука,6.0,0.0,6.0,",43",",35",",08",",01204",0.07224,101,14.02.2021,242.0,АФУ,0,2.0,2021.0
16.0,189.372.001596,Плата мультиплексора IRDM20-20D Roadm SWG AMP (3KC69751AA),штука,7.0,0.0,7.0,",5",",5",",5",",125",0.875,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
17.0,169.372.000372,Модуль OE-TRX SFP CWDM PIN CH51 B_SFP*MULTIRATE STM-1/16 (1AB373110001),штука,12.0,0.0,12.0,",04",",16",",27",",001728",0.020736,101,14.02.2021,169.0,Мультиплексоры,0,2.0,2021.0
18.0,189.372.001597,Модуль MCS8-16 Multicastswitch 8-DEG 16p (8DG62474AA),штука,7.0,0.0,7.0,",5",",5",",5",,,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
19.0,189.372.001598,"Набор монтажный PSC1-6 Installation kit (8DG62367AA) в составе: 1AD009150001-4шт, 1AD139920001-4шт, 1AD147970001-8шт, 3AN44672AAAA, 3AN49331AAAA-9шт, 8DG61922AAAA-2шт, 8DG61925AAAA-2шт, 8DG62598AAAA-2шт",Комплект,3.0,0.0,3.0,",5",",5",",5",",125",0.375,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
20.0,189.372.001599,"Набор монтажный PSC1-6 Cover kit (8DG62423AA) в составе: 1AD147970001-4шт, 3AN44672AAAA, 3AN49331AAAA-4шт, 8DG61919AAAA-2шт, 8DG61940AAAA",Комплект,3.0,0.0,3.0,",5",",5",",5",",125",0.375,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
21.0,189.372.001600,Плата мультиплексора MSH4-FSB Flex Stackable Fibshuf (8DG63726AA),штука,4.0,0.0,4.0,",5",",5",",5",",125",0.5,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
22.0,189.372.001601,"Патчкорд оптический MPO-MPO APC Jumper-Etsi, 3.5м (8DG63366AC)",штука,21.0,0.0,21.0,",5",",5",",5",",125",2.625,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
23.0,169.372.001183,Кабель двухпарный экранированный Etsi 1AC043850003,Метр,9.0,0.0,9.0,",099",",099",",0165",",0001617165",0.0014554485,101,14.02.2021,169.0,Мультиплексоры,0,2.0,2021.0
24.0,189.372.001602,Блок мультиплексора AAR-8A AMP ARRAY 8-AMPS (8DG62497AA),штука,7.0,0.0,7.0,",5",",5",",5",,,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
25.0,189.372.001603,"Патчкорд оптический MPO APC Short Jumper-Etsi, 180мм (8DG63366AA)",штука,9.0,0.0,9.0,",5",",5",",5",,,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
26.0,169.372.000353,Аттенюатор оптический 10ДБ LC/PC PLUG FM,штука,6.0,0.0,6.0,0,0,0,",00003025",0.0001815,101,14.02.2021,169.0,Мультиплексоры,0,2.0,2021.0
27.0,189.372.001604,Плата мультиплексора Ptpioc IEEE1588V2 PTP BIDI OTCintf (3KC49170AA),штука,4.0,0.0,4.0,",5",",5",",5",,,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
28.0,189.372.001605,Модуль SFP FE/STM-1 ULH BIDI OSC UPSTR (3AL82043AA),штука,13.0,0.0,13.0,",5",",5",",5",,,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
29.0,189.372.001606,Модуль SFP FE/STM-1 ULH BIDI OSC Downstr (3AL82044AA),штука,13.0,0.0,13.0,",5",",5",",5",,,101,14.02.2021,189.0,Мультиплексоры,0,2.0,2021.0
